policy,damage_pct,tracking_pct,weapon_utilization_pct
DeepRL,15.0,79.88165680473372,250.0
Classic,0.0,23.28767123287671,61.64383561643836
Random,0.0,67.46987951807229,234.93975903614458
DeepRL,20.0,97.4910394265233,250.0
Classic,0.0,18.666666666666668,50.0
Random,0.0,66.66666666666666,237.37373737373736
DeepRL,20.0,90.1639344262295,250.0
Classic,0.0,27.160493827160494,70.98765432098766
Random,0.0,75.83333333333333,233.33333333333334
DeepRL,0.0,94.26229508196722,250.0
Classic,0.0,16.037735849056602,42.45283018867924
Random,0.0,88.57142857142857,210.71428571428572
DeepRL,10.0,72.1311475409836,250.0
Classic,0.0,23.91304347826087,62.5
Random,0.0,78.0701754385965,217.10526315789474
DeepRL,0.0,79.26829268292683,250.0
Classic,0.0,22.535211267605636,59.859154929577464
Random,0.0,88.88888888888889,224.35897435897436
DeepRL,42.5,88.51351351351352,250.0
Classic,0.0,22.950819672131146,61.47540983606557
Random,0.0,71.42857142857143,233.76623376623377
DeepRL,0.0,69.86301369863014,250.0
Classic,0.0,18.181818181818183,49.24242424242424
Random,0.0,69.91150442477876,223.4513274336283
DeepRL,0.0,51.4018691588785,250.0
Classic,0.0,28.155339805825243,72.81553398058252
Random,0.0,79.72027972027972,239.5104895104895
DeepRL,0.0,31.25,250.0
Classic,0.0,19.27710843373494,51.20481927710843
Random,0.0,82.41758241758241,219.7802197802198
DeepRL,0.0,47.76119402985074,250.0
Classic,0.0,20.8955223880597,55.970149253731336
Random,0.0,57.14285714285714,233.76623376623377
DeepRL,0.0,42.857142857142854,250.0
Classic,0.0,21.12676056338028,56.33802816901409
Random,0.0,76.23762376237624,222.77227722772278
DeepRL,0.0,44.0,250.0
Classic,0.0,18.29268292682927,48.78048780487806
Random,0.0,82.6530612244898,227.0408163265306
DeepRL,0.0,37.17948717948718,250.0
Classic,0.0,20.28985507246377,54.347826086956516
Random,0.0,74.76635514018692,226.63551401869162
DeepRL,0.0,72.22222222222221,250.0
Classic,0.0,24.358974358974358,64.1025641025641
Random,0.0,89.39393939393939,217.8030303030303
DeepRL,0.0,63.20754716981132,250.0
Classic,0.0,18.823529411764707,50.0
Random,0.0,88.69565217391305,239.1304347826087
DeepRL,0.0,81.17647058823529,250.0
Classic,0.0,22.22222222222222,59.02777777777778
Random,0.0,63.2183908045977,229.8850574712644
DeepRL,0.0,72.16494845360825,250.0
Classic,0.0,22.018348623853214,57.3394495412844
Random,0.0,76.29629629629629,225.9259259259259
DeepRL,27.5,81.63265306122449,250.0
Classic,0.0,22.123893805309734,57.52212389380531
Random,0.0,74.02597402597402,228.89610389610388
DeepRL,10.0,83.78378378378379,250.0
Classic,0.0,15.789473684210526,42.10526315789473
Random,0.0,76.85950413223141,225.20661157024793
DeepRL,0.0,47.76119402985074,250.0
Classic,0.0,20.8955223880597,55.970149253731336
Random,0.0,64.55696202531645,218.35443037974684
DeepRL,0.0,42.857142857142854,250.0
Classic,0.0,21.12676056338028,56.33802816901409
Random,0.0,56.81818181818182,230.11363636363632
DeepRL,0.0,44.0,250.0
Classic,0.0,18.29268292682927,48.78048780487806
Random,0.0,81.37254901960785,225.49019607843138
DeepRL,0.0,37.17948717948718,250.0
Classic,0.0,20.28985507246377,54.347826086956516
Random,0.0,51.80722891566265,228.91566265060237
DeepRL,0.0,72.22222222222221,250.0
Classic,0.0,24.358974358974358,64.1025641025641
Random,0.0,72.27722772277228,225.24752475247527
DeepRL,0.0,63.20754716981132,250.0
Classic,0.0,18.823529411764707,50.0
Random,0.0,80.0,230.76923076923075
DeepRL,0.0,81.17647058823529,250.0
Classic,0.0,22.22222222222222,59.02777777777778
Random,0.0,79.38144329896907,216.49484536082477
DeepRL,0.0,72.16494845360825,250.0
Classic,0.0,22.018348623853214,57.3394495412844
Random,0.0,72.5925925925926,231.4814814814815
DeepRL,27.5,81.63265306122449,250.0
Classic,0.0,22.123893805309734,57.52212389380531
Random,0.0,67.85714285714286,219.64285714285717
DeepRL,10.0,83.78378378378379,250.0
Classic,0.0,15.789473684210526,42.10526315789473
Random,0.0,87.93103448275862,224.1379310344828
DeepRL,7.5,94.81481481481482,250.0
Classic,0.0,22.535211267605636,59.859154929577464
Random,0.0,85.0574712643678,241.37931034482762
DeepRL,0.0,76.53061224489795,250.0
Classic,0.0,23.595505617977526,61.79775280898876
Random,0.0,84.34782608695653,226.08695652173913
DeepRL,0.0,72.97297297297297,250.0
Classic,0.0,19.587628865979383,48.96907216494846
Random,0.0,91.72413793103448,218.9655172413793
DeepRL,12.5,89.36170212765957,250.0
Classic,0.0,22.727272727272727,56.81818181818181
Random,0.0,70.0,212.5
DeepRL,27.5,88.0794701986755,250.0
Classic,0.0,15.18987341772152,41.13924050632911
Random,0.0,73.03370786516854,230.3370786516854
DeepRL,0.0,60.810810810810814,250.0
Classic,0.0,20.833333333333336,55.55555555555556
Random,0.0,72.61904761904762,220.2380952380952
DeepRL,0.0,82.55813953488372,250.0
Classic,0.0,19.696969696969695,53.03030303030303
Random,0.0,78.04878048780488,217.47967479674796
DeepRL,0.0,83.87096774193549,250.0
Classic,0.0,24.242424242424242,64.39393939393939
Random,0.0,83.15789473684211,239.47368421052633
DeepRL,10.0,82.77777777777777,250.0
Classic,0.0,22.22222222222222,59.02777777777778
Random,0.0,80.19801980198021,220.29702970297032
DeepRL,7.5,84.61538461538461,250.0
Classic,0.0,20.98765432098765,55.55555555555556
Random,0.0,86.47058823529412,227.94117647058823
